,Date,Period,EpexHourly,SpotPrice,SystemPrice,ImbalanceVolume,Temp,NextSystemPrice
210,12/04/2019,19,52.73,39.59,36.4,-55.7415,9.3,36.31
211,12/04/2019,20,52.73,36.59,36.31,-241.7979,9.3,36.25
212,12/04/2019,21,50.0,37.76,36.25,-720.9175,9.3,36.25
213,12/04/2019,22,50.0,36.78,36.25,-756.6238,9.3,36.25
214,12/04/2019,23,46.4,37.3,36.25,-609.0815,9.3,36.25
215,12/04/2019,24,46.4,39.6,36.25,-306.1228,9.3,36.31
216,12/04/2019,25,40.0,46.91,36.31,-77.634,9.3,89.0
217,12/04/2019,26,40.0,47.3,89.0,217.628,9.3,50.0
218,12/04/2019,27,39.0,40.77,50.0,389.7695,9.3,49.2
219,12/04/2019,28,39.0,39.51,49.2,118.4827,9.3,79.18525
220,12/04/2019,29,39.28,38.45,79.18525,63.55,9.3,49.0
221,12/04/2019,30,39.28,39.58,49.0,67.5128,9.3,49.0
222,12/04/2019,31,40.2,43.43,49.0,62.0081,9.3,49.8
223,12/04/2019,32,40.2,44.86,49.8,141.1393,9.3,36.3
224,12/04/2019,33,49.76,41.63,36.3,-100.3889,9.3,35.2
225,12/04/2019,34,49.76,39.18,35.2,-191.895,9.3,35.8
226,12/04/2019,35,49.0,41.74,35.8,-291.2709,9.3,35.8
227,12/04/2019,36,49.0,49.97,35.8,-139.6449,9.3,53.75
228,12/04/2019,37,52.95,51.56,53.75,37.8992,9.3,84.0
229,12/04/2019,38,52.95,50.56,84.0,173.1698,9.3,36.45
230,12/04/2019,39,52.61,50.01,36.45,-35.4526,9.3,36.45
231,12/04/2019,40,52.61,51.3,36.45,-20.8277,9.3,37.5
232,12/04/2019,41,49.0,57.19,37.5,-13.6605,9.3,36.4
233,12/04/2019,42,49.0,55.53,36.4,-85.3632,9.3,59.0
234,12/04/2019,43,38.47,40.23,59.0,160.0724,9.3,36.52
235,12/04/2019,44,38.47,35.96,36.52,-12.9858,9.3,25.0
236,12/04/2019,45,50.1,46.04,25.0,-420.9266,9.3,35.8
237,12/04/2019,46,50.1,43.35,35.8,-530.4574,9.3,36.5
238,12/04/2019,47,38.63,46.22,36.5,-132.125,9.3,52.0
239,12/04/2019,48,38.63,40.23,52.0,86.3931,9.3,52.0
240,13/04/2019,1,37.78,42.6,52.0,208.8992,9.4,52.0
241,13/04/2019,2,37.78,42.67,52.0,169.6298,9.4,35.8
242,13/04/2019,3,37.93,42.02,35.8,-175.0072,9.4,35.8
243,13/04/2019,4,37.93,41.65,35.8,-214.4717,9.4,35.8
244,13/04/2019,5,40.04,39.82,35.8,-246.524,9.4,35.8
245,13/04/2019,6,40.04,38.2,35.8,-153.0484,9.4,35.8
246,13/04/2019,7,38.1,38.59,35.8,-206.6956,9.4,35.8
247,13/04/2019,8,38.1,37.68,35.8,-344.3333,9.4,35.8
248,13/04/2019,9,40.0,38.04,35.8,-234.1808,9.4,36.4
249,13/04/2019,10,40.0,39.91,36.4,-193.6106,9.4,36.25
250,13/04/2019,11,48.0,39.21,36.25,-303.5667,9.4,35.8
251,13/04/2019,12,48.0,38.03,35.8,-402.5526,9.4,35.8
252,13/04/2019,13,51.64,41.45,35.8,-423.7777,9.4,35.8
253,13/04/2019,14,51.64,58.21,35.8,-183.8767,9.4,40.0
254,13/04/2019,15,54.99,59.3,40.0,55.1473,9.4,65.0
255,13/04/2019,16,54.99,54.62,65.0,134.3219,9.4,65.0
256,13/04/2019,17,56.5,42.53,65.0,123.1608,9.4,22.0
257,13/04/2019,18,56.5,36.79,22.0,-343.6896,9.4,22.0
258,13/04/2019,19,52.56,36.61,22.0,-682.2833,9.4,30.0
259,13/04/2019,20,52.56,37.37,30.0,-1047.3133,9.4,30.0
260,13/04/2019,21,42.04,44.62,30.0,-690.7561,9.4,22.0
261,13/04/2019,22,42.04,44.12,22.0,-224.9591,9.4,49.69
262,13/04/2019,23,38.43,42.72,49.69,130.1266,9.4,49.68
263,13/04/2019,24,38.43,43.54,49.68,139.4065,9.4,49.68
264,13/04/2019,25,36.93,39.6,49.68,126.1308,9.4,37.45013
265,13/04/2019,26,36.93,41.79,37.45013,-53.2831,9.4,36.62
266,13/04/2019,27,35.97,39.27,36.62,-230.8073,9.4,38.52
267,13/04/2019,28,35.97,37.67,38.52,-230.4465,9.4,38.77
268,13/04/2019,29,35.96,36.1,38.77,-420.0901,9.4,38.74
269,13/04/2019,30,35.96,37.73,38.74,-415.9961,9.4,39.61
270,13/04/2019,31,38.46,38.2,39.61,-480.7536,9.4,36.5
271,13/04/2019,32,38.46,39.86,36.5,-401.923,9.4,35.8
272,13/04/2019,33,46.0,38.1,35.8,-611.5288,9.4,35.8
273,13/04/2019,34,46.0,40.29,35.8,-657.6426,9.4,35.8
274,13/04/2019,35,54.0,42.34,35.8,-665.4034,9.4,35.8
275,13/04/2019,36,54.0,47.8,35.8,-456.4061,9.4,22.0
276,13/04/2019,37,56.1,47.09,22.0,-582.8258,9.4,44.82
277,13/04/2019,38,56.1,46.84,44.82,-313.6418,9.4,48.8
278,13/04/2019,39,59.98,47.18,48.8,-290.3424,9.4,22.0
279,13/04/2019,40,59.98,50.43,22.0,-20.7882,9.4,61.97023
280,13/04/2019,41,51.0,53.22,61.97023,145.6613,9.4,59.0
281,13/04/2019,42,51.0,43.74,59.0,22.9481,9.4,36.63
282,13/04/2019,43,40.29,41.64,36.63,-108.3773,9.4,36.4
283,13/04/2019,44,40.29,40.87,36.4,-478.9398,9.4,22.0
284,13/04/2019,45,49.8,40.75,22.0,-354.6332,9.4,22.0
285,13/04/2019,46,49.8,41.32,22.0,-318.6266,9.4,34.52
286,13/04/2019,47,40.2,38.63,34.52,-178.2884,9.4,35.1
287,13/04/2019,48,40.2,32.01,35.1,-321.8427,9.4,25.0
288,14/04/2019,1,39.22,28.29,25.0,-224.6343,9.5,13.0
289,14/04/2019,2,39.22,27.22,13.0,-365.7011,9.5,13.0
290,14/04/2019,3,37.95,27.66,13.0,-418.9248,9.5,35.1
291,14/04/2019,4,37.95,30.08,35.1,-218.0635,9.5,13.0
292,14/04/2019,5,37.5,36.04,13.0,-291.4271,9.5,33.52
293,14/04/2019,6,37.5,33.7,33.52,-112.4611,9.5,36.29
294,14/04/2019,7,36.08,34.15,36.29,-144.8053,9.5,45.0
295,14/04/2019,8,36.08,34.83,45.0,0.1573,9.5,36.25
296,14/04/2019,9,33.12,41.73,36.25,-12.4746,9.5,36.25
297,14/04/2019,10,33.12,42.87,36.25,-120.6233,9.5,37.24
298,14/04/2019,11,35.0,40.66,37.24,-11.2209,9.5,32.1
299,14/04/2019,12,35.0,32.1,32.1,-170.6507,9.5,31.04
300,14/04/2019,13,43.5,31.73,31.04,-588.0508,9.5,31.52
301,14/04/2019,14,43.5,34.03,31.52,-585.2042,9.5,32.1
302,14/04/2019,15,42.0,40.34,32.1,-516.4955,9.5,35.0
303,14/04/2019,16,42.0,46.24,35.0,-157.5158,9.5,52.1
304,14/04/2019,17,40.45,42.04,52.1,276.2821,9.5,51.99
305,14/04/2019,18,40.45,35.46,51.99,120.6434,9.5,32.8
306,14/04/2019,19,46.01,36.27,32.8,-129.3834,9.5,31.0
307,14/04/2019,20,46.01,36.74,31.0,-143.4941,9.5,31.0
308,14/04/2019,21,45.0,36.04,31.0,-200.2979,9.5,32.0
309,14/04/2019,22,45.0,35.05,32.0,-386.0362,9.5,32.0
310,14/04/2019,23,50.0,34.59,32.0,-568.6761,9.5,32.0
311,14/04/2019,24,50.0,36.09,32.0,-594.6306,9.5,32.0
312,14/04/2019,25,43.3,36.73,32.0,-345.3185,9.5,37.66
313,14/04/2019,26,43.3,39.53,37.66,-91.8836,9.5,33.98
314,14/04/2019,27,42.6,38.14,33.98,40.1068,9.5,33.98
315,14/04/2019,28,42.6,37.51,33.98,29.8331,9.5,51.04
316,14/04/2019,29,45.0,40.65,51.04,147.0619,9.5,57.5
317,14/04/2019,30,45.0,44.66,57.5,350.6506,9.5,58.0
318,14/04/2019,31,48.0,52.96,58.0,527.376,9.5,58.0
319,14/04/2019,32,48.0,53.94,58.0,327.4177,9.5,62.0
320,14/04/2019,33,54.0,45.22,62.0,314.4923,9.5,62.0
321,14/04/2019,34,54.0,43.31,62.0,82.861,9.5,32.25
322,14/04/2019,35,52.86,44.82,32.25,-288.6245,9.5,35.0
323,14/04/2019,36,52.86,46.41,35.0,-257.2192,9.5,33.53
324,14/04/2019,37,58.59,40.45,33.53,-273.5334,9.5,33.53
325,14/04/2019,38,58.59,40.53,33.53,-274.9619,9.5,35.0
326,14/04/2019,39,61.92,55.55,35.0,-122.734,9.5,64.0
327,14/04/2019,40,61.92,54.11,64.0,55.5272,9.5,64.0
328,14/04/2019,41,53.47,50.11,64.0,148.1595,9.5,35.0
329,14/04/2019,42,53.47,43.45,35.0,-24.5702,9.5,54.0
330,14/04/2019,43,45.21,46.56,54.0,61.9137,9.5,35.0
331,14/04/2019,44,45.21,42.29,35.0,-43.7611,9.5,35.0
332,14/04/2019,45,48.7,43.67,35.0,-149.8332,9.5,33.5
333,14/04/2019,46,48.7,43.38,33.5,-258.19,9.5,30.75
334,14/04/2019,47,37.83,29.43,30.75,-514.1009,9.5,30.35
335,14/04/2019,48,37.83,28.32,30.35,-617.7567,9.5,30.35
336,15/04/2019,1,36.1,26.8,30.35,-528.5865,9.6,25.0
337,15/04/2019,2,36.1,27.28,25.0,-532.0415,9.6,25.0
338,15/04/2019,3,34.49,26.12,25.0,-280.5532,9.6,33.19
339,15/04/2019,4,34.49,29.98,33.19,-28.759,9.6,25.0
340,15/04/2019,5,33.68,32.73,25.0,-177.6927,9.6,32.83004
341,15/04/2019,6,33.68,31.46,32.83004,-72.525,9.6,32.04994
342,15/04/2019,7,37.77,26.11,32.04994,-103.7999,9.6,18.0
343,15/04/2019,8,37.77,27.23,18.0,-244.0367,9.6,25.0
344,15/04/2019,9,44.53,37.57,25.0,-184.6687,9.6,25.0
345,15/04/2019,10,44.53,39.73,25.0,-403.236,9.6,31.0
346,15/04/2019,11,52.1,51.47,31.0,-184.5571,9.6,51.0
347,15/04/2019,12,52.1,44.33,51.0,52.8961,9.6,53.99
348,15/04/2019,13,54.85,42.61,53.99,304.7237,9.6,53.75
349,15/04/2019,14,54.85,57.38,53.75,233.8038,9.6,31.25
350,15/04/2019,15,57.05,58.64,31.25,-149.3749,9.6,53.75
351,15/04/2019,16,57.05,47.38,53.75,29.3178,9.6,53.75
352,15/04/2019,17,54.32,40.98,53.75,128.5227,9.6,53.75
353,15/04/2019,18,54.32,41.86,53.75,43.9798,9.6,31.0
354,15/04/2019,19,46.0,38.96,31.0,-98.8371,9.6,52.0
355,15/04/2019,20,46.0,35.59,52.0,8.5441,9.6,30.75
356,15/04/2019,21,43.07,33.02,30.75,-315.0831,9.6,30.0
357,15/04/2019,22,43.07,32.51,30.0,-500.4896,9.6,30.0
358,15/04/2019,23,40.4,30.57,30.0,-833.5414,9.6,30.0
359,15/04/2019,24,40.4,28.62,30.0,-921.1474,9.6,30.0
360,15/04/2019,25,35.94,30.87,30.0,-921.1919,9.6,29.01
361,15/04/2019,26,35.94,26.79,29.01,-1051.0019,9.6,29.01
362,15/04/2019,27,33.03,27.0,29.01,-855.5918,9.6,29.01
363,15/04/2019,28,33.03,24.36,29.01,-1182.4978,9.6,29.01
364,15/04/2019,29,32.5,26.74,29.01,-1181.4184,9.6,31.0
365,15/04/2019,30,32.5,29.93,31.0,-986.2733,9.6,35.0
366,15/04/2019,31,42.5,33.89,35.0,-860.8051,9.6,30.0
367,15/04/2019,32,42.5,38.27,30.0,-561.6982,9.6,25.0
368,15/04/2019,33,43.8,36.51,25.0,-277.6937,9.6,25.0
369,15/04/2019,34,43.8,37.12,25.0,-244.6543,9.6,32.25
370,15/04/2019,35,50.0,42.58,32.25,-504.6937,9.6,40.47
371,15/04/2019,36,50.0,49.45,40.47,-163.0039,9.6,36.8357
372,15/04/2019,37,56.09,49.07,36.8357,104.1059,9.6,55.0
373,15/04/2019,38,56.09,51.09,55.0,314.6347,9.6,55.0
374,15/04/2019,39,60.0,56.26,55.0,329.9806,9.6,55.0
375,15/04/2019,40,60.0,51.23,55.0,297.3886,9.6,59.0
376,15/04/2019,41,54.7,56.12,59.0,465.8064,9.6,55.0
377,15/04/2019,42,54.7,46.78,55.0,352.9459,9.6,55.0
378,15/04/2019,43,45.1,37.03,55.0,669.8033,9.6,52.05
